Road,Name,LRP,Offset,Chainage,LRP_2,Offset_2,Chainage_2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),base_road,condition,lat,lon
,Rampur Bridge,,,96.192,,,,,,,,,,,,,,,,,,,,,,N2,C,24.0429702404358,91.2045500397094
,KATAKHALI BRIDGE,,,96.853,,,,,,,,,,,,,,,,,,,,,,N2,A,24.0407262413333,91.2101575271111
,Rampur Bridge-2,,,96.853,,,,,,,,,,,,,,,,,,,,,,N2,B,24.0407262413333,91.2101575271111
,Khilsima Bridge,,,97.263,,,,,,,,,,,,,,,,,,,,,,N2,C,24.0419719,91.2138333
,KHALISHIMA BRIDGE,,,97.668,,,,,,,,,,,,,,,,,,,,,,N2,A,24.043172678511,91.2176082783418
,CHANDURA BOX CULVERT,,,97.696,,,,,,,,,,,,,,,,,,,,,,N2,A,24.0432555888324,91.2178701375634
,Lohor Bridge,,,100.04,,,,,,,,,,,,,,,,,,,,,,N2,A,24.0498387163339,91.2390337290381
,BUDUNTI P C GIRDER BRIDGE,,,100.04,,,,,,,,,,,,,,,,,,,,,,N2,A,24.0498387163339,91.2390337290381
,BULUNTI 2 BOX CULVERT,,,101.004,,,,,,,,,,,,,,,,,,,,,,N2,A,24.057338552505,91.2438914899799
,BURUNDI (3) BOX CULVERT,,,102.341,,,,,,,,,,,,,,,,,,,,,,N2,A,24.065947923225,91.2530700166065
,SHASHI BOX CULVERT,,,102.843,,,,,,,,,,,,,,,,,,,,,,N2,B,24.0691040355029,91.256625424852
,ISKMPUR BOX CULVERT,,,103.374,,,,,,,,,,,,,,,,,,,,,,N2,A,24.072462410775,91.2603098812854
,BILPASA CULVERT,,,104.217,,,,,,,,,,,,,,,,,,,,,,N2,A,24.0778696446351,91.2661291399141
,AMTOLI CULVERT,,,105.474,,,,,,,,,,,,,,,,,,,,,,N2,A,24.0822501969473,91.2762214315789
,ARINAGAR CULVERT,,,105.983,,,,,,,,,,,,,,,,,,,,,,N2,A,24.0830965810989,91.2807562536263
,KHATABARI CULVERT,,,106.396,,,,,,,,,,,,,,,,,,,,,,N2,A,24.0852408324582,91.2840123147971
,MADUBPUR BAZAR BRIDGE,,,107.235,,,,,,,,,,,,,,,,,,,,,,N2,B,24.0909137298145,91.2885035489301
,Madhab pur Bridge,,,107.235,,,,,,,,,,,,,,,,,,,,,,N2,C,24.0909137298145,91.2885035489301
,KODHMADAB PUR,,,107.981,,,,,,,,,,,,,,,,,,,,,,N2,A,24.0972482904109,91.2911522986301
,Madhabpur Bridge,,,109.038,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1042590088531,91.2979448987927
,MADABPUR (KACHARI),,,109.038,,,,,,,,,,,,,,,,,,,,,,N2,C,24.1042590088531,91.2979448987927
,MIRNAGAR R C C G BRIDGE,,,109.8,,,,,,,,,,,,,,,,,,,,,,N2,C,24.1097965209979,91.3024099465696
,Mirnagar Bridge,,,109.8,,,,,,,,,,,,,,,,,,,,,,N2,C,24.1097965209979,91.3024099465696
,HARIA BOX CULVERT,,,111.047,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1178998672727,91.310849880808
,Undhiura Bridge,,,111.979,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1243593059382,91.3167782581947
,UNDHIURA P C G BRIDGE,,,111.979,,,,,,,,,,,,,,,,,,,,,,N2,B,24.1243593059382,91.3167782581947
,Dokhin Bedhosa Bridge,,,113.087,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1327827852207,91.3222117568138
,DOKHIN BEDHOSA,,,113.087,,,,,,,,,,,,,,,,,,,,,,N2,B,24.1327827852207,91.3222117568138
,Begura -2 Bridge,,,113.846,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1391103339955,91.3250301847682
,BEGURA 2 PC GIRDER BRIDGE,,,113.846,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1391103339955,91.3250301847682
,Begurga -1 Bridge,,,114.909,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1440329295154,91.3335726396475
,BEGURGA 1 PC GIRDER BRIDGE,,,114.909,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1440329295154,91.3335726396475
,WORLDKOAL CULVERT,,,115.81,,,,,,,,,,,,,,,,,,,,,,N2,B,24.1463656258358,91.3420528395136
,JAGADISHPUR,,,116.018,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1468901205607,91.3440217214953
,JAGADISHPUR,,,116.219,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1475431932926,91.3458216457317
N2-15,Jagadishpur(Int.with N204)-Shaistaganj (Int.with N204),LRP117,378,116.294,LRP142,278,141.309,25.015,270.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1170.0,493.0,53.0,79.0,0.0,8071.0,132.0,8203.0,8203.0,N2,,,
,JAGADISPUR 3 BOX CULVERT,,,116.61,,,,,,,,,,,,,,,,,,,,,,N2,C,24.1504398675958,91.3476775494773
,JAGADISHPUR 2 BOX CULVERT,,,117.086,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1545094189265,91.3487842322033
,JOGIDISH PUR CULVERT,,,117.284,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1562806240113,91.348830879661
,BELGOR CULVERT,,,117.54,,,,,,,,,,,,,,,,,,,,,,N2,A,24.158845592638,91.3489047233128
,BELGOR BOX CULVERT,,,117.771,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1607536901023,91.3489536829351
,NARONPUR CULVERT,,,117.99,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1626046967032,91.3490109626373
,NARAONPUR CULVERT,,,118.335,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1656872448275,91.3490274
,NANAR KHOLA CULVERT,,,118.497,,,,,,,,,,,,,,,,,,,,,,N2,B,24.1671222482758,91.3490274
,ITAKHOLA BOX CULVERT,,,118.798,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1698043993902,91.3490274
,ITAKHOLA CULVERT,,,119.035,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1720276505154,91.3490552
,BANGADOBA,,,119.505,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1762611963597,91.3493166873661
,BANGADOBA BOX CULVERT,,,120.199,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1824936827999,91.3501544568
,KAROLA,,,120.851,,,,,,,,,,,,,,,,,,,,,,N2,A,24.188343818,91.350516708
,PATONPUR,,,121.195,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1914097549132,91.3505278
,RATONPUR BOX CULVERT,,,121.686,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1957657783783,91.3507017061425
,NOWA PARA BOX CULVERT,,,122.114,,,,,,,,,,,,,,,,,,,,,,N2,A,24.1995860414918,91.3511658801864
,NOWA PARA,,,122.326,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2014256480186,91.3514541310023
,NOWAPARA BOX CULVERT,,,122.788,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2054472164516,91.3525778725806
,NOWA PARA BOX CULVERT,,,122.934,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2066638674193,91.3531927209677
,Shapur Bridge,,,123.191,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2085601744827,91.3544752496551
,SHAPUR,,,123.191,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2085601744827,91.3544752496551
,SAHAPUR BOX CULVERT,,,123.654,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2120458313539,91.3569636109263
,HORITOLA BOX CULVERT,,,124.304,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2166045893846,91.3608968426153
,HARITALA 2 BOX CULVERT,,,124.46,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2176577813846,91.3618835066153
,HORI TOLA BOX CULVERT,,,124.638,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2188854253164,91.3629662360759
,HORITALA BOX CULVERT,,,124.856,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2206161977528,91.3639615960674
,SHIBPUR BOX CULVERT,,,125.141,,,,,,,,,,,,,,,,,,,,,,N2,A,24.223148515736,91.3647176883248
,SHIBPUR BOX CULVERT,,,125.593,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2270687986636,91.3652380040089
,SHIBPUR BOX CULVERT,,,125.657,,,,,,,,,,,,,,,,,,,,,,N2,A,24.227627081069,91.3655151567928
,SHIBPUR BOX CULVERT,,,125.78,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2287000300668,91.3660478097995
,SHIBPUR BOX CULVERT,,,126.21,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2324161,91.3672956666666
,SOUDURP 2,,,126.317,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2333514895104,91.3675381501165
,RIAZNAZAR BOX CULVERT,,,126.772,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2373891878612,91.3683910708092
,RIAZ NAGAR BOX CULVERT,,,127.076,,,,,,,,,,,,,,,,,,,,,,N2,A,24.240104416129,91.3690145280397
,TAJPUR BOX CULVERT,,,127.691,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2453919661129,91.370552332392
,JAJPUR BOX CULVERT,,,128.04,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2483684288571,91.3715551882857
,TAJPUR BOX CULVERT,,,128.37,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2510285976119,91.3728521116417
,BAKHARNAGAR BOX CULVERT,,,128.753,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2539687209876,91.3747529907407
,CHARA BOX CULVERT,,,129.103,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2565296885386,91.376727700573
,CHARA BOX CULVERT,,,129.405,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2588610764705,91.3782461
,CHARA BOX CULVERT,,,129.546,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2599490343137,91.3788860833333
,GORIPUR BOX CULVERT,,,129.985,,,,,,,,,,,,,,,,,,,,,,N2,B,24.2634051199999,91.3809022189091
,GORIPUR BOX CULVERT,,,130.23,,,,,,,,,,,,,,,,,,,,,,N2,B,24.26536022,91.3820406225454
,OLIPUR BOX CULVERT,,,130.641,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2686782376782,91.3837600983706
,LEVEL CROSING BOX CULVERT,,,131.468,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2711294189003,91.3898493161512
,OLIPUR BOX CULVERT,,,131.547,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2710992577319,91.3905732520618
,SHARALDI BOX CULVERT,,,131.767,,,,,,,,,,,,,,,,,,,,,,N2,A,24.271147972807,91.3925544780701
,SHUTAN BAZAR,,,132.792,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2751897880083,91.401614395099
,Shutan Bazar Bridge,,,132.792,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2751897880083,91.401614395099
,SATANKONADI BRIDGE,,,133.252,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2773317548387,91.4055143225806
,SATANKANADI,,,133.439,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2780997618279,91.4070782357526
,NURPUR,,,133.659,,,,,,,,,,,,,,,,,,,,,,N2,A,24.279101528934,91.4088715715736
,NURPUR CULVERT,,,134.422,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2814709744868,91.4156858947214
,N ASHUTPUR,,,134.957,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2821628568181,91.4208976749999
,BORCLAR CULVERT,,,136.247,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2803280718,91.4334974258
,BORCHAR,,,137.262,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2775398508474,91.4426206203389
,TALUGARAR,,,137.784,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2741830466257,91.4462022466257
,BISHOROAH BOX CULVERT,,,138.267,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2708890745341,91.4493102099378
,BISHOROAD CULVERT,,,138.769,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2677720459677,91.4528306338709
,WORLD ROAD CULVERT,,,139.271,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2664690763527,91.4570746332665
,BIRMACHAR CULVERT,,,139.773,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2666905404809,91.4619911426853
,BIRAM CHAR BOX CULVERT,,,140.402,,,,,,,,,,,,,,,,,,,,,,N2,A,24.26701275314,91.4681518884058
,SHAIS TAGONG CULVEERT,,,140.804,,,,,,,,,,,,,,,,,,,,,,N2,A,24.267181867647,91.4721012037433
N2-16,Shaistaganj (Int.with N204)-Mirpur (Int.with N207),LRP142,278,141.309,LRP146,920,145.961,4.652,206.0,4176.0,708.0,1765.0,178.0,1494.0,298.0,1159.0,1975.0,721.0,170.0,415.0,0.0,12680.0,585.0,13265.0,13265.0,N2,,,
,SAYESTAGONJ BRIDGE,,,141.382,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2682615092063,91.477247111746
,Shaistaganj Bridge,,,141.382,,,,,,,,,,,,,,,,,,,,,,N2,C,24.2682615092063,91.477247111746
,Addipasha Bridge,,,142.912,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2788063459787,91.4859254584218
,ADDIPASHA R C C BRIDGE,,,142.912,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2788063459787,91.4859254584218
,BASHUINA BOX CULVERT,,,144.146,,,,,,,,,,,,,,,,,,,,,,N2,C,24.2849281019125,91.4960359530054
,BASHINA BOX CULVERT,,,144.413,,,,,,,,,,,,,,,,,,,,,,N2,C,24.2862366482014,91.498186313669
,BAINA BOX CULVERT,,,145.077,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2894247427046,91.5037113124555
N2-17,Mirpur (Int.with N207)-Auskandi (Int.with R240),LRP146,920,145.961,LRP182,527,181.657,35.696,338.0,1131.0,391.0,888.0,54.0,964.0,296.0,1058.0,1784.0,325.0,68.0,162.0,33.0,7229.0,263.0,7492.0,7492.0,N2,,,
,JOYPUR BOX CULVERT,,,146.094,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2957942312101,91.5105355840764
,MIRPUR BOX CULVERT,,,146.376,,,,,,,,,,,,,,,,,,,,,,N2,A,24.2980267513513,91.5112349405405
,MIRPUR BOX CULVERT,,,146.673,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3005804944444,91.5120214666666
,RUPSANKAR BOX CULVERT,,,147.167,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3044037630188,91.5151219766037
,KHAMAR GOAN BOX CULVERT,,,147.428,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3060840624309,91.5172712955801
,CHARGUY BOX CULVEFRT,,,148.175,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3110669081545,91.5207181905579
,DOWLOTPUR BOX CULVERT,,,148.983,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3164647349264,91.5259613753676
,Dowlatpur Bridge,,,149.509,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3203282296367,91.5287664185468
,DOWLOTPUR PC BRIDGE,,,149.509,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3203282296367,91.5287664185468
,TOLAMPUR BOX CULVERT,,,150.057,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3247602855072,91.5311234110144
,ISLAMPUR,,,150.812,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3312803529771,91.5331031047328
,JANJJALIA,,,151.154,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3341146691275,91.5335158554809
,JANJJALIA,,,151.287,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3350321013422,91.5335489120805
,JANNJALIA,,,151.559,,,,,,,,,,,,,,,,,,,,,,N2,A,24.336938656338,91.533637784507
,KABIR PUR,,,151.86,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3404050044692,91.5342658385474
,ISLAMABAD,,,152.198,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3433336647058,91.5348688464705
,KABIR PUR CULVERT,,,152.501,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3460083301639,91.535338464918
,Chalta Bazar Bridge,,,153.116,,,,,,,,,,,,,,,,,,,,,,N2,B,24.3513919662011,91.5364728952514
,CHALTA BAZAR BRIDGE,,,153.116,,,,,,,,,,,,,,,,,,,,,,N2,B,24.3513919662011,91.5364728952514
,CHALTA BOX CULVERT,,,153.38,,,,,,,,,,,,,,,,,,,,,,N2,A,24.353358471229,91.5378453265363
,CHALTA BAZAR BOX CULVERT,,,154.294,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3603485835164,91.541595982967
,Mokkadi Bridge,,,154.93,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3658315268722,91.5434295729075
,MOKKADI,,,154.93,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3658315268722,91.5434295729075
,ADITPUR,,,155.528,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3706725638513,91.5458229199324
,MOSHIDOLONG,,,156.065,,,,,,,,,,,,,,,,,,,,,,N2,A,24.375087492,91.5479881959999
,MOGLIE,,,156.615,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3795572061594,91.5502040260869
,Moglie Bridge,,,156.615,,,,,,,,,,,,,,,,,,,,,,N2,B,24.3795572061594,91.5502040260869
,DOVEREL,,,157.701,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3880408606965,91.5555251338308
,SHOURATUL,,,158.025,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3904946851741,91.5572534884577
,HASANABAD BOX CULVERT,,,158.437,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3935938551312,91.559311695704
,HASANABAD,,,158.639,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3951472785202,91.5603294575179
,MONDUL KAFON,,,158.959,,,,,,,,,,,,,,,,,,,,,,N2,A,24.3975406188811,91.5619265475524
,PUTI JURRI,,,159.377,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4007885722891,91.5637976106024
,Putajuri Bridge,,,159.669,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4033296759036,91.5644229831325
,PUTA JURI PC GIRDER BRIDGE,,,159.669,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4033296759036,91.5644229831325
,PUTA JURI BOX CULVERT,,,159.851,,,,,,,,,,,,,,,,,,,,,,N2,C,24.4049280183673,91.564704447619
,PUTA JURI SCHOOL,,,160.123,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4074136345454,91.5649167
,KAZI MADAM,,,160.867,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4140835484304,91.5656558636771
,RASURAT BOX CULVERT 2,,,160.982,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4151244789237,91.5658325408071
,RAJSURAT BOX CULVERT,,,161.178,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4167952587234,91.5661546906383
,SHUKCHAR,,,161.333,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4181416810638,91.566530054468
,SHUKCHAR,,,161.492,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4195228497872,91.5669151051063
,SHUKCHAR,,,161.748,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4217445923566,91.5674789866242
,Shuk Ghar Bridge,,,161.948,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4234977390625,91.5678518695312
,SHUK GHAR RCC GRIDER,,,161.948,,,,,,,,,,,,,,,,,,,,,,N2,B,24.4234977390625,91.5678518695312
,SUCK CHAR BOX CULVERT,,,162.123,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4250990697841,91.5681423769784
,COLTANPUR BOX CULVERT,,,162.266,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4263984578947,91.5682493
,COLYANPUR BOX CULVERT,,,162.479,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4281701972602,91.5680705123287
,SHAMREPUR BOX CULVERT,,,162.825,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4313035135384,91.5682721556923
,BROCHAR BOX CULVERT,,,163.37,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4361217182481,91.5690115372262
,BARO CLAR BRIDGE,,,163.415,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4365254536496,91.5690434724452
,Boro Char Bridge,,,163.415,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4365254536496,91.5690434724452
,BARO CHAR BOX CULVERT,,,163.759,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4395974278443,91.5693417170658
,Rokonpur Bridge,,,164.088,,,,,,,,,,,,,,,,,,,,,,N2,B,24.4424559766773,91.5699314031948
,ROKAM PUR RCC GIDER BRIDGE,,,164.088,,,,,,,,,,,,,,,,,,,,,,N2,B,24.4424559766773,91.5699314031948
,ROKAMPUR BOX CULVERT,,,164.225,,,,,,,,,,,,,,,,,,,,,,N2,A,24.443696154952,91.570235385623
,RAKONPUR BOX CULVERT,,,164.39,,,,,,,,,,,,,,,,,,,,,,N2,A,24.445194125,91.5706034625
,BURIMA BOX CULVERT,,,164.956,,,,,,,,,,,,,,,,,,,,,,N2,B,24.4501527896551,91.5716560781609
,BURIMA BOX CULVERT,,,165.008,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4506177055172,91.5717224827586
,BARIMA BOX CULVERT,,,165.246,,,,,,,,,,,,,,,,,,,,,,N2,C,24.4526561768115,91.571991247826
,VORGOU BOX CULVERT,,,165.414,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4541419777777,91.5721536333333
,VORGOU BOX CULVERT,,,165.679,,,,,,,,,,,,,,,,,,,,,,N2,A,24.45653135,91.5723666335294
,VORGOU BOX CULVERT,,,165.837,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4579264018518,91.5724525055555
,BOROKADI BOX CULVERT,,,166.183,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4608792840455,91.5743585863247
,BOROKANSI BOX CULVERT,,,166.28,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4617237091168,91.5740361649572
,PANIDUNDA PCGIRD BRIDGE,,,166.829,,,,,,,,,,,,,,,,,,,,,,N2,A,24.466550890595,91.5735381040307
,Paniunda Bridge,,,166.829,,,,,,,,,,,,,,,,,,,,,,N2,B,24.466550890595,91.5735381040307
,PANIUNDAPC GIRDIR,,,167.266,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4704585597122,91.5737849
,Paniunda Bridge,,,167.266,,,,,,,,,,,,,,,,,,,,,,N2,B,24.4704585597122,91.5737849
,KORAGU BOX CULVERT,,,167.503,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4725347879245,91.5741577301886
,KURAGU BOX CULVERT,,,168.035,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4770775101123,91.575464475
,KURGGUB BOX CULVERT,,,168.311,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4794337744444,91.5761610622222
,SATAIHUL,,,168.546,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4814468338181,91.5767708221818
,SATAIHULL,,,168.664,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4824674932203,91.5770868749999
,SATAISUL,,,168.787,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4835534372881,91.5774343499999
,SATAIHUL BOX CULVERT,,,168.935,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4848054,91.5778273568
,SATAIHUL,,,169.015,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4854467548387,91.5780233379032
,SATHAIL CULVERT,,,169.132,,,,,,,,,,,,,,,,,,,,,,N2,A,24.486413515,91.5783062725
,SATHAIT BRIGE,,,169.381,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4885601135135,91.5789598972973
,Sathail Bridge,,,169.381,,,,,,,,,,,,,,,,,,,,,,N2,B,24.4885601135135,91.5789598972973
,SATHIHAL B CULVERT,,,169.566,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4901457801801,91.5795270639639
,SATHAI HAT CULVERT,,,169.623,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4906343369369,91.5797018126126
,SATHAIHAL - 4 CULVERT,,,169.686,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4911743207207,91.5798949558558
,SATAIHUL,,,169.762,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4918345656441,91.5801058527607
,SATAIHUL BOX CULVERT,,,169.81,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4922435374233,91.580212188957
,SATAIHAL BOX CULVERT,,,169.935,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4932941,91.58044936
,MARAURA,,,170.031,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4941079181818,91.5806043467532
,MURAURA BOX CULVERT,,,170.187,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4955773499999,91.5809073453125
,MURAURA CULVERT,,,170.231,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4959619037735,91.5810160981132
,MARAURA CULVERT,,,170.282,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4963312878787,91.5812105848484
,MURAURA CULVERT,,,170.397,,,,,,,,,,,,,,,,,,,,,,N2,A,24.497229189051,91.5818527729927
,DEWPARA CUVERT,,,170.68,,,,,,,,,,,,,,,,,,,,,,N2,A,24.4992986288135,91.5832250576271
,DEWPARA CULVERT,,,171.066,,,,,,,,,,,,,,,,,,,,,,N2,A,24.502660242236,91.5841392236024
,DEWPARA,,,171.144,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5033331254658,91.5843007465838
,DEWPARA BOX CULVERT,,,171.278,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5044876296943,91.5846028043668
,GARIPUR,,,171.414,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5056572195121,91.5849007902439
,MALAR BATAR,,,171.763,,,,,,,,,,,,,,,,,,,,,,N2,B,24.5087642787535,91.5851694478753
,KANDIGOAN,,,172.26,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5131358463013,91.5854254884931
,KANDIGOAN,,,172.73,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5168538676595,91.5873842038297
,Kandigoan Bridge,,,172.941,,,,,,,,,,,,,,,,,,,,,,N2,B,24.5184747068085,91.5884815834042
,KANDIGOAN BRIDGE,,,172.941,,,,,,,,,,,,,,,,,,,,,,N2,C,24.5184747068085,91.5884815834042
,AUGON BOX CULVERT,,,173.193,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5206499878787,91.5894264
,ANGOAN BOX CULVERT,,,173.395,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5223086648648,91.5898953027027
,ANGOOM BOX CUL,,,173.704,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5247145735294,91.5914764
,DEVPARA BOXCULVERT,,,174.007,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5267243202572,91.593348681672
,DEVPARA BAZAR BOX CULVERT,,,174.253,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5284943,91.5949617545454
,NORTH VEVPUR,,,174.574,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5307071086267,91.5965079154929
,NORT DEVPARA 3 CULVERT,,,174.753,,,,,,,,,,,,,,,,,,,,,,N2,A,24.532090356338,91.5973920746478
,NORTH DEVPARA 2 CULVER,,,174.889,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5331413154929,91.5980638380281
,NORTH DEVPARA,,,174.989,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5339027933333,91.5985786733333
,NOLSUZA 2 CULVERT,,,175.128,,,,,,,,,,,,,,,,,,,,,,N2,A,24.5349371863636,91.5993538681818
